Dizionario per immagini                                                                                                
lezione                                                                                                                              
Grupo 3
a tarde                                                                     - il pomeriggio                                                     
o telefone                                                                  - il telefono                                                       
o gravador de vídeo                                                         - il videoregistratore                                              
o celular                                                                   - il mobile                                                         
o aparelho de som                                                           - lo stereo                                                         
o alto falante                                                              - l'altoparlante                                                    
a biblioteca                                                                - la libreria                                                       
as cortinas                                                                 - le tende                                                          
os travesseiros                                                             - i cuscini                                                         
o sofá                                                                      - il divano                                                         
a mesinha                                                                   - il tavolino                                                       
a lâmpada                                                                   - la lampada                                                        
o ornamento                                                                 - il soprammobile                                                   
o lustre                                                                    - il lampadario                                                     
Grupo 21
o armario                                                                    - la credenza                                                       
o lustre                                                                    - il lampadario                                                     
a garrafa                                                                   - la caraffa                                                        
o copo                                                                      - il bicchiere                                                      
a mesa                                                                      - il tavolo                                                         
a colher                                                                    - il cucchiaio                                                      
o garfo                                                                     - la forchetta                                                      
o prato                                                                     - il piatto                                                         
o guardanapo                                                                - il tovagliolo                                                     
a faca                                                                      - il coltello                                                       
a toalha de mesa                                                            - la tovaglia                                                       
a cadeira                                                                   - la sedia                                                          
a cafeteira                                                                 - la caffettiera                                                    
o bule de chá                                                               - la teiera                                                         
a xícara                                                                    - la tazza                                                          
o pires                                                                     - il piattino                                                       
os talheres                                                                 - le posate                                                         
a saladeira                                                                 - l'insalatiera                                                     
o pote                                                                      - la pentola                                                        
a panela                                                                    - la casseruola                                                     
a tesoura de aves                                                           - il trinciapollo                                                   
a torradeira                                                                - il tostapane                                                      
o prato                                                                     - la piastra                                                        
o enredo                                                                    - il canovaccio                                                     
a geladeira                                                                 - il frigorifero                                                    
o congelador                                                                - il congelatore                                                    
os cubos de gelo                                                            - i cubetti di ghiaccio                                             
a unidade de parede                                                         - il pensile                                                        
o forno de micro-ondas                                                      - il forno a microonde                                              
o rolo de massa                                                             - il matterello                                                     
a tábua de corte                                                            - il tagliere                                                       
o fogão a gás                                                               - la cucina a gas                                                   
o espeto                                                                    - lo spiedo                                                         
a máquina de lavar louça                                                    - la lavastoviglie                                                  
o escorredor de pratos                                                      - lo scolapiatti                                                    
o ralador                                                                   - la grattugia                                                      
o abridor de latas                                                          - l'apriscatole                                                     
o abridor de garrafas                                                       - l'apribottiglie                                                   
o escorredor                                                                - il colapasta                                                      
a panela                                                                    - la padella                                                        
a tampa                                                                     - il coperchio                                                      
os palitos de dente                                                         - gli stuzzicadenti                                                 
o liquidificador                                                            - il frullatore                                                     
o forno                                                                     - il forno                                                          
a grelha                                                                    - la griglia                                                        
a superfície de trabalho                                                    - la superficie da lavoro                                           
a panela de pressão                                                         - la pentola a pressione                                            
o avental                                                                   - il grembiule                                                      
a torneira                                                                  - il rubinetto                                                      
a assadeira                                                                 - la pirofila                                                       
Grupo 22
misturar                                                                    - mescolare                                                         
grelhar                                                                     - grattugiare                                                       
abrir                                                                       - aprire                                                            
depósitar                                                                   - versare                                                           
descascar                                                                   - pelare                                                            
picar                                                                       - spezzettare                                                       
quebrar                                                                     - rompere                                                           
bater                                                                       - battere                                                           
cortar                                                                      - tagliare                                                          
fatiar                                                                      - affettare                                                         
picar                                                                       - tagliuzzare                                                       
cozinhar a vapor                                                            - cuocere a vapore                                                  
tostar                                                                      - tostare                                                           
assar                                                                       - cuocere al forno                                                  
fritar                                                                      - friggere                                                          
ferver                                                                      - bollire                                                           
moer                                                                        - macinare                                                          
Grupo 23
o cabideiro                                                                 - l'attaccapanni                                                    
o guarda-roupa                                                              - l'armadio                                                         
a caixa de joias                                                            - il portagioie                                                     
o espelho                                                                   - lo specchio                                                       
o despertador                                                               - la sveglia                                                        
a cômoda                                                                    - la cassettiera                                                    
as gavetas                                                                  - i cassetti                                                        
a cabeceira                                                                 - la testiera                                                       
a fronha                                                                    - la federa                                                         
o travesseiro                                                               - il cuscino                                                        
o colchão                                                                   - il materasso                                                      
a rede                                                                      - la rete                                                           
a folha                                                                     - il lenzuolo                                                       
o ventilador de teto                                                        - la ventola a soffitto                                             
a cama                                                                      - il letto                                                          
o edredom                                                                   - il piumone                                                        
na capa                                                                     - la coperta                                                        
a mesa de cabeceira                                                         - il comodino                                                       
o tapete                                                                    - il tappeto                                                        
Grupo 24
o ursinho                                                                   - l'orsetto                                                         
o berço                                                                     - il lettino                                                        
a costa                                                                     - la sponda                                                         
talco                                                                       - il borotalco                                                      
o trocador                                                                  - il fasciatoio                                                     
o alfinete de segurança                                                     - la spilla di sicurezza                                            
a fralda                                                                    - il pannolino                                                      
o carrinho de bebê                                                          - il passeggino                                                     
a mamadeira                                                                 - il biberon                                                        
a chupeta                                                                    - il succhiotto                                                     
os cotonetes                                                                - i bastoncini per le orecchie                                               
o babador                                                                   - il bavaglino                                                      
o chocalho                                                                  - il sonaglio                                                       
andarilho para bebe                                                         - il girello                                                        
o balanço                                                                   - l'altalena                                                        
a casa do                                                                   - la casa delle                                                     
o berço                                                                     - la culla                                                          
a pelucia                                                                   - il peluche                                                        
a boneca                                                                    - la bambola                                                        
as caixas                                                                   - il box                                                            
o quebra-cabeça                                                             - il puzzle                                                         
lego                                                                        - i lego                                                            
a cadeira de rodas                                                          - la carrozzella                                                    
Grupo 25
o chuveiro                                                                  - la doccia                                                         
a touca de banho                                                            - la cuffia per doccia                                              
a tenda                                                                     - la tenda                                                          
a saboneteira                                                               - il portasapone                                                    
a tampa                                                                     - il tappo                                                          
a banheira                                                                  - la vasca da bagno                                                 
o tapete                                                                    - il tappeto                                                        
o gabinete                                                                  - il mobiletto                                                      
a torneira                                                                  - il rubinetto                                                      
a pia                                                                       - il lavandino                                                      
a escova de dentes para o                                                   - lo spazzolino per i                                               
a toalha                                                                    - l'asciugamano                                                     
o guardanapo                                                                - la salvietta                                                      
o toalheiro                                                                 - il portasciugamano                                                
o secador de cabelo                                                         - l'asciugacapelli                                                  
o azulejo                                                                   - la mattonella                                                     
o cesto de roupa suja                                                       - il portabiancheria                                                
a privada                                                                      - il water                                                          
o pincel para o                                                             - la spazzola per il                                                
as balança                                                                  - la bilancia                                                       
o lance                                                                     - il bid                                                            
Grupo 26
a escada                                                                    - la scala                                                          
a bateria                                                                   - la pila                                                           
os trapos                                                                   - gli stracci                                                       
o pincel                                                                    - lo spazzolone                                                     
a vassoura                                                                  - la scopa                                                          
o remo                                                                      - la paletta                                                        
o ferro                                                                     - il ferro da stiro                                                 
a tábua de passar roupa                                                     - l'asse da stiro                                                   
o balde                                                                     - il secchio                                                        
o aspirador de pó                                                           - l'aspirapolvere                                                   
os prendedores de roupa                                                     - le mollette                                                       
o amaciante de roupas                                                       - l'ammorbidente                                                    
a lavanderia                                                                - il bucato                                                         
o detergente para o                                                         - il detersivo per la                                               
o cesto de roupa suja                                                       - il portabiancheria                                                
detergente líquido para louça                                               - il detersivo liquido per i piatti                                 
água sanitária                                                              - la candeggina                                                     
a máquina de lavar                                                          - la lavatrice                                                      
o polidor                                                                   - la lucidatrice                                                    
a lata de lixo                                                              - la pattumiera                                                     
o escorredor de pratos                                                      - lo stenditoio                                                     
a sapateira                                                                 - la scarpiera                                                      
Grupo 27
reordenar                                                                   - riordinare                                                        
polir                                                                       - lucidare                                                          
limpar                                                                      - pulire                                                            
aprender                                                                    - appendere                                                         
cozido                                                                      - cucinare                                                          
varrer                                                                      - scopare                                                           
arrumar a cama                                                              - fare il letto                                                     
secar                                                                       - asciugare                                                         
reparar                                                                     - riparare                                                          
passar fero                                                                 - stirare                                                           
trocar os lençóis                                                           - cambiare le lenzuola                                              
limpar com o aspirador de pó                                                - pulire con l'aspirapolvere                                        
tirar o pó                                                                  - spolverare                                                        
lavar a louça                                                               - lavare i piatti                                                   
lavar roupa                                                                 - fare il bucato                                                    
pendurar a roupa                                                            - stendere il bucato                                                
regar as plantas                                                            - annaffiare le piante                                              
Grupo 28
dormir                                                                      - dormire                                                           
acordar                                                                     - svegliarsi                                                        
levantar                                                                    - alzarsi                                                           
tomar café da manhã                                                         - fare colazione                                                    
lavar                                                                       - lavarsi                                                           
fazer                                                                       - fare                                                              
secar                                                                       - asciugarsi                                                        
fazer                                                                       - fare                                                              
fazer_se                                                                    - farsi                                                             
colocar maquiagem                                                           - truccarsi                                                         
vestir_se                                                                   - vestirsi                                                          
pentear o cabelo                                                            - pettinarsi                                                        
sair                                                                        - uscire                                                            
voltar para casa                                                            - tornare a casa                                                    
para dizer adeus                                                            - salutarsi                                                         
almoçar                                                                     - pranzare                                                          
luz                                                                         - leggere                                                           
ouvir                                                                       - ascoltare                                                         
assistir                                                                    - guardare                                                          
jogar cartas                                                                - giocare a carte                                                   
jantar                                                                      - cenare                                                            
ir para                                                                     - andare a                                                          
adormecer                                                                   - addormentarsi                                                     
Grupo 29
a pista                                                                     - la corsia                                                         
as prateleiras                                                              - la scaffalatura                                                   
o carrinho                                                                  - il carrello                                                       
o cliente                                                                   - il cliente                                                        
a balança                                                                   - la bilancia                                                       
a caixa registradora                                                        - la cassa                                                          
a caixa registradora                                                        - il registratore di cassa                                          
o recibo                                                                    - lo scontrino                                                      
a seção do congelador                                                       - il banco congelatore                                              
o balcão de vendas                                                          - il banco vendita                                                  
o preço                                                                     - il cartellino del prezzo                                          
o caixa                                                                     - la cassiera                                                       
a sacola de compras                                                         - la borsa della spesa                                              
os departamentos                                                            - i reparti                                                         
laticínios                                                                  - i latticini                                                       
a delicatessen                                                              - la salumeria                                                      
o açougue                                                                   - la macelleria                                                     
os congelados                                                               - i surgelati                                                       
frutas e vegetais                                                           - ortofrutta                                                        
a padaria                                                                   - la panetteria                                                     
o peixeiro                                                                  - la pescheria                                                      
Grupo 29b
o bezerro                                                                   - il vitello                                                        
carne de porco bovina                                                       - il manzo carne suina                                              
carne de porco carne de ovelha                                              - il maiale carne ovina                                             
a cabrito                                                                   - il capretto                                                       
o cordeiro                                                                  - l'agnello                                                         
o cavalo                                                                    - il cavallo                                                        
o bife                                                                      - la bistecca                                                       
o assado                                                                    - l'arrosto                                                         
a carne para caldo                                                          - la carne da brodo                                                 
o filé                                                                      - il filetto                                                        
costelas                                                                    - costine                                                           
a carne moída                                                               - il macinato                                                       
o ensopado                                                                  - lo spezzatino                                                     
Grupo 29c
a galinha                                                                   - la gallina                                                        
o peru                                                                      - il tacchino                                                       
o pato                                                                      - l'anatra                                                          
o ganso                                                                     - l'oca                                                             
a galinha                                                                   - il pollo                                                          
o coelho                                                                    - il coniglio                                                       
o peito                                                                     - il petto                                                          
a parte traseira                                                            - il posteriore                                                     
a coxa                                                                      - la coscia                                                         
a asa                                                                       - l'ala                                                             
o frango int                                                                - il pollo int                                                      
o meio frango                                                               - il mezzo pollo                                                    
Grupo 29d
o salame                                                                    - il salame                                                         
o presunto                                                                  - il prosciutto                                                     
o bacon                                                                     - la pancetta                                                       
o cotechino                                                                 - il cotechino                                                      
mortadela                                                                   - la mortadella                                                     
as salsichas                                                                - le salsicce                                                       
Grupo 29e
a veia                                                                      - il filone                                                         
as rosetas                                                                  - le rosette                                                        
o pão                                                                       - lo sfilatino                                                      
palitos de pão                                                              - i grissini                                                        
os biscoitos                                                                - le fette biscottate                                               
o sanduíche                                                                 - il panino                                                         
a pizza                                                                     - la pizza                                                          
os doces                                                                    - i pasticcini                                                      
Grupo 29f
lasanha                                                                     - le lasagne                                                        
espaguete                                                                   - gli spaghetti                                                     
o macarrão                                                                  - i maccheroni                                                      
as canetas                                                                  - le penne                                                          
fusilli                                                                     - i fusilli                                                         
rigatoni                                                                    - i rigatoni                                                        
as borboletas                                                               - le farfalle                                                       
os caracóis                                                                 - le lumache                                                        
eu ravioli                                                                  - i ravioli                                                         
tortellini                                                                  - i tortellini                                                      
o nhoque                                                                    - gli gnocchi                                                       
Grupo 29g
queijo parmesão                                                             - il parmigiano                                                     
queijo pecorino                                                             - il pecorino                                                       
queijo stracchino                                                           - lo stracchino                                                     
gruyère                                                                     - la groviera                                                       
mussarela                                                                   - la mozzarella                                                     
gorgonzola                                                                  - il gorgonzola                                                     
as fatias de queijo                                                         - le sottilette                                                     
leite                                                                       - il latte                                                          
a manteiga                                                                  - il burro                                                          
iogurte                                                                     - lo yogurt                                                         
o creme                                                                     - la panna                                                          
os ovos                                                                     - le uova                                                           
Grupo 29h
os biscoitos                                                                - i biscotti                                                        
a geléia                                                                    - la marmellata                                                     
chocolate                                                                   - il cioccolato                                                     
camomila                                                                    - la camomilla                                                      
a bebida                                                                    - la bibita                                                         
atum                                                                        - il tonno                                                          
carne enlatada                                                              - la carne in scatola                                               
a sardinha                                                                  - le sardine                                                        
maionese                                                                    - la maionese                                                       
o molho de tomate                                                           - la salsa di pomodori                                              
os tomates pelados                                                          - i pelati                                                          
arroz                                                                       - il riso                                                           
azeite                                                                      - l'olio d'oliva                                                    
óleo de semente                                                             - l'olio di semi                                                    
o vinagre                                                                   - l'aceto                                                           
açúcar                                                                      - lo zucchero                                                       
a farinha                                                                   - la farina                                                         
as batatas fritas                                                           - le patatine                                                       
o sal                                                                       - il sale                                                           
pimenta                                                                     - il pepe                                                           
os doces                                                                    - le caramelle                                                      
